word,english,first_person_present_singular,second_person_present_singular,third_person_present_singular,first_person_present_plural,second_person_present_plural,third_person_present_plural,first_person_future_singular_i,second_person_future_singular_i,third_person_future_singular_i,first_person_future_plural_i,second_person_future_plural_i,third_person_future_plural_i,first_person_future_singular_ii,second_person_future_singular_ii,third_person_future_singular_ii,first_person_future_plural_ii,second_person_future_plural_ii,third_person_future_plural_ii,first_person_past_perfect_singular,second_person_past_perfect_singular,third_person_past_perfect_singular,first_person_past_perfect_plural,second_person_past_perfect_plural,third_person_past_perfect_plural,first_person_past_pluperfect_singular,second_person_past_pluperfect_singular,third_person_past_pluperfect_singular,first_person_past_pluperfect_plural,second_person_past_pluperfect_plural,third_person_past_pluperfect_plural,first_person_past_imperfect_singular,second_person_past_imperfect_singular,third_person_past_imperfect_singular,first_person_past_imperfect_plural,second_person_past_imperfect_plural,third_person_past_imperfect_plural,first_person_past_aorist_singular,second_person_past_aorist_singular,third_person_past_aorist_singular,first_person_past_aorist_plural,second_person_past_aorist_plural,third_person_past_aorist_plural,first_person_conditional_i_singular,second_person_conditional_i_singular,third_person_conditional_i_singular,first_person_conditional_i_plural,second_person_conditional_i_plural,third_person_conditional_i_plural,first_person_conditional_ii_singular,second_person_conditional_ii_singular,third_person_conditional_ii_singular,first_person_conditional_ii_plural,second_person_conditional_ii_plural,third_person_conditional_ii_plural,first_person_imperative_singular,first_person_imperative_plural,second_person_imperative_plural
nalomiti,to break off,nalomim,nalomiš,nalomi,nalomimo,nalomite,nalome,nalomit ću,nalomit ćeš,nalomit će,nalomit ćemo,nalomit ćete,nalomit će,budem nalomio,budeš nalomio,bude nalomio,budemo nalomili,budete nalomili,budu nalomili,nalomio sam,nalomio si,nalomio je,nalomili smo,nalomili ste,nalomili su,bio sam nalomio,bio si nalomio,bio je nalomio,bili smo nalomili,bili ste nalomili,bili su nalomili,,,,,,,nalomih,nalomi,nalomi,nalomismo,nalomiste,nalomiše,nalomio bih,nalomio bi,nalomio bi,nalomili bismo,nalomili biste,nalomili bi,bio bih nalomio,bio bi nalomio,bio bi nalomio,bili bismo nalomili,bili biste nalomili,bili bi nalomili,nalomi,nalomimo,nalomite
namakati,to moisten,namačem,namačeš,namače,namačemo,namačete,namaču,namakat ću,namakat ćeš,namakat će,namakat ćemo,namakat ćete,namakat će,budem namakao,budeš namakao,bude namakao,budemo namakali,budete namakali,budu namakali,namakao sam,namakao si,namakao je,namakali smo,namakali ste,namakali su,bio sam namakao,bio si namakao,bio je namakao,bili smo namakali,bili ste namakali,bili su namakali,namakah,namakaše,namakaše,namakasmo,namakaste,namakahu,,,,,,,namakao bih,namakao bi,namakao bi,namakali bismo,namakali biste,namakali bi,bio bih namakao,bio bi namakao,bio bi namakao,bili bismo namakali,bili biste namakali,bili bi namakali,namači,namačimo,namačite
namaknuti,to put on,namaknem,namakneš,namakne,namaknemo,namaknete,namaknu,namaknut ću,namaknut ćeš,namaknut će,namaknut ćemo,namaknut ćete,namaknut će,budem namaknuo,budeš namaknuo,bude namaknuo,budemo namaknuli,budete namaknuli,budu namaknuli,namaknuo sam,namaknuo si,namaknuo je,namaknuli smo,namaknuli ste,namaknuli su,bio sam namaknuo,bio si namaknuo,bio je namaknuo,bili smo namaknuli,bili ste namaknuli,bili su namaknuli,,,,,,,namaknuh,namaknu,namaknu,namaknusmo,namaknuste,namaknuše,namaknuo bih,namaknuo bi,namaknuo bi,namaknuli bismo,namaknuli biste,namaknuli bi,bio bih namaknuo,bio bi namaknuo,bio bi namaknuo,bili bismo namaknuli,bili biste namaknuli,bili bi namaknuli,namakni,namaknimo,namaknite
namamiti,to lure,namamim,namamiš,namami,namamimo,namamite,namame,namamit ću,namamit ćeš,namamit će,namamit ćemo,namamit ćete,namamit će,budem namamio,budeš namamio,bude namamio,budemo namamili,budete namamili,budu namamili,namamio sam,namamio si,namamio je,namamili smo,namamili ste,namamili su,bio sam namamio,bio si namamio,bio je namamio,bili smo namamili,bili ste namamili,bili su namamili,,,,,,,namamih,namami,namami,namamismo,namamiste,namamiše,namamio bih,namamio bi,namamio bi,namamili bismo,namamili biste,namamili bi,bio bih namamio,bio bi namamio,bio bi namamio,bili bismo namamili,bili biste namamili,bili bi namamili,namami,namamimo,namamite
namamljivati,to lure,namamljujem,namamljuješ,namamljuje,namamljujemo,namamljujete,namamljuju,namamljivat ću,namamljivat ćeš,namamljivat će,namamljivat ćemo,namamljivat ćete,namamljivat će,budem namamljivao,budeš namamljivao,bude namamljivao,budemo namamljivali,budete namamljivali,budu namamljivali,namamljivao sam,namamljivao si,namamljivao je,namamljivali smo,namamljivali ste,namamljivali su,bio sam namamljivao,bio si namamljivao,bio je namamljivao,bili smo namamljivali,bili ste namamljivali,bili su namamljivali,namamljivah,namamljivaše,namamljivaše,namamljivasmo,namamljivaste,namamljivahu,,,,,,,namamljivao bih,namamljivao bi,namamljivao bi,namamljivali bismo,namamljivali biste,namamljivali bi,bio bih namamljivao,bio bi namamljivao,bio bi namamljivao,bili bismo namamljivali,bili biste namamljivali,bili bi namamljivali,namamljuj,namamljujmo,namamljujte
nameniti,to intend,namenim,nameniš,nameni,namenimo,namenite,namene,namenit ću,namenit ćeš,namenit će,namenit ćemo,namenit ćete,namenit će,budem namenio,budeš namenio,bude namenio,budemo namenili,budete namenili,budu namenili,namenio sam,namenio si,namenio je,namenili smo,namenili ste,namenili su,bio sam namenio,bio si namenio,bio je namenio,bili smo namenili,bili ste namenili,bili su namenili,,,,,,,namenih,nameni,nameni,namenismo,nameniste,nameniše,namenio bih,namenio bi,namenio bi,namenili bismo,namenili biste,namenili bi,bio bih namenio,bio bi namenio,bio bi namenio,bili bismo namenili,bili biste namenili,bili bi namenili,nameni,namenimo,namenite
namenjivati,to intend,namenjujem,namenjuješ,namenjuje,namenjujemo,namenjujete,namenjuju,namenjivat ću,namenjivat ćeš,namenjivat će,namenjivat ćemo,namenjivat ćete,namenjivat će,budem namenjivao,budeš namenjivao,bude namenjivao,budemo namenjivali,budete namenjivali,budu namenjivali,namenjivao sam,namenjivao si,namenjivao je,namenjivali smo,namenjivali ste,namenjivali su,bio sam namenjivao,bio si namenjivao,bio je namenjivao,bili smo namenjivali,bili ste namenjivali,bili su namenjivali,namenjivah,namenjivaše,namenjivaše,namenjivasmo,namenjivaste,namenjivahu,,,,,,,namenjivao bih,namenjivao bi,namenjivao bi,namenjivali bismo,namenjivali biste,namenjivali bi,bio bih namenjivao,bio bi namenjivao,bio bi namenjivao,bili bismo namenjivali,bili biste namenjivali,bili bi namenjivali,namenjuj,namenjujmo,namenjujte
nameravati,to intend,nameravam,nameravaš,namerava,nameravamo,nameravate,nameravaju,nameravat ću,nameravat ćeš,nameravat će,nameravat ćemo,nameravat ćete,nameravat će,budem nameravao,budeš nameravao,bude nameravao,budemo nameravali,budete nameravali,budu nameravali,nameravao sam,nameravao si,nameravao je,nameravali smo,nameravali ste,nameravali su,bio sam nameravao,bio si nameravao,bio je nameravao,bili smo nameravali,bili ste nameravali,bili su nameravali,nameravah,nameravaše,nameravaše,nameravasmo,nameravaste,nameravahu,,,,,,,nameravao bih,nameravao bi,nameravao bi,nameravali bismo,nameravali biste,nameravali bi,bio bih nameravao,bio bi nameravao,bio bi nameravao,bili bismo nameravali,bili biste nameravali,bili bi nameravali,nameravaj,nameravajmo,nameravajte
nametati,to force upon,namećem,namećeš,nameće,namećemo,namećete,nameću,nametat ću,nametat ćeš,nametat će,nametat ćemo,nametat ćete,nametat će,budem nametao,budeš nametao,bude nametao,budemo nametali,budete nametali,budu nametali,nametao sam,nametao si,nametao je,nametali smo,nametali ste,nametali su,bio sam nametao,bio si nametao,bio je nametao,bili smo nametali,bili ste nametali,bili su nametali,nametah,nametaše,nametaše,nametasmo,nametaste,nametahu,,,,,,,nametao bih,nametao bi,nametao bi,nametali bismo,nametali biste,nametali bi,bio bih nametao,bio bi nametao,bio bi nametao,bili bismo nametali,bili biste nametali,bili bi nametali,nameći,namećimo,namećite
nametnuti,to force upon,nametnem,nametneš,nametne,nametnemo,nametnete,nametnu,nametnut ću,nametnut ćeš,nametnut će,nametnut ćemo,nametnut ćete,nametnut će,budem nametnuo,budeš nametnuo,bude nametnuo,budemo nametnuli,budete nametnuli,budu nametnuli,nametnuo sam,nametnuo si,nametnuo je,nametnuli smo,nametnuli ste,nametnuli su,bio sam nametnuo,bio si nametnuo,bio je nametnuo,bili smo nametnuli,bili ste nametnuli,bili su nametnuli,,,,,,,nametnuh,nametnu,nametnu,nametnusmo,nametnuste,nametnuše,nametnuo bih,nametnuo bi,nametnuo bi,nametnuli bismo,nametnuli biste,nametnuli bi,bio bih nametnuo,bio bi nametnuo,bio bi nametnuo,bili bismo nametnuli,bili biste nametnuli,bili bi nametnuli,nametni,nametnimo,nametnite
namicati,to put on,namičem,namičeš,namiče,namičemo,namičete,namiču,namicat ću,namicat ćeš,namicat će,namicat ćemo,namicat ćete,namicat će,budem namicao,budeš namicao,bude namicao,budemo namicali,budete namicali,budu namicali,namicao sam,namicao si,namicao je,namicali smo,namicali ste,namicali su,bio sam namicao,bio si namicao,bio je namicao,bili smo namicali,bili ste namicali,bili su namicali,namicah,namicaše,namicaše,namicasmo,namicaste,namicahu,,,,,,,namicao bih,namicao bi,namicao bi,namicali bismo,namicali biste,namicali bi,bio bih namicao,bio bi namicao,bio bi namicao,bili bismo namicali,bili biste namicali,bili bi namicali,namiči,namičimo,namičite
namijeniti,to intend,namijenim,namijeniš,namijeni,namijenimo,namijenite,namijene,namijenit ću,namijenit ćeš,namijenit će,namijenit ćemo,namijenit ćete,namijenit će,budem namijenio,budeš namijenio,bude namijenio,budemo namijenili,budete namijenili,budu namijenili,namijenio sam,namijenio si,namijenio je,namijenili smo,namijenili ste,namijenili su,bio sam namijenio,bio si namijenio,bio je namijenio,bili smo namijenili,bili ste namijenili,bili su namijenili,,,,,,,namijenih,namijeni,namijeni,namijenismo,namijeniste,namijeniše,namijenio bih,namijenio bi,namijenio bi,namijenili bismo,namijenili biste,namijenili bi,bio bih namijenio,bio bi namijenio,bio bi namijenio,bili bismo namijenili,bili biste namijenili,bili bi namijenili,namijeni,namijenimo,namijenite
namjenjivati,to intend,namjenjujem,namjenjuješ,namjenjuje,namjenjujemo,namjenjujete,namjenjuju,namjenjivat ću,namjenjivat ćeš,namjenjivat će,namjenjivat ćemo,namjenjivat ćete,namjenjivat će,budem namjenjivao,budeš namjenjivao,bude namjenjivao,budemo namjenjivali,budete namjenjivali,budu namjenjivali,namjenjivao sam,namjenjivao si,namjenjivao je,namjenjivali smo,namjenjivali ste,namjenjivali su,bio sam namjenjivao,bio si namjenjivao,bio je namjenjivao,bili smo namjenjivali,bili ste namjenjivali,bili su namjenjivali,namjenjivah,namjenjivaše,namjenjivaše,namjenjivasmo,namjenjivaste,namjenjivahu,,,,,,,namjenjivao bih,namjenjivao bi,namjenjivao bi,namjenjivali bismo,namjenjivali biste,namjenjivali bi,bio bih namjenjivao,bio bi namjenjivao,bio bi namjenjivao,bili bismo namjenjivali,bili biste namjenjivali,bili bi namjenjivali,namjenjuj,namjenjujmo,namjenjujte
namjeravati,to intend,namjeravam,namjeravaš,namjerava,namjeravamo,namjeravate,namjeravaju,namjeravat ću,namjeravat ćeš,namjeravat će,namjeravat ćemo,namjeravat ćete,namjeravat će,budem namjeravao,budeš namjeravao,bude namjeravao,budemo namjeravali,budete namjeravali,budu namjeravali,namjeravao sam,namjeravao si,namjeravao je,namjeravali smo,namjeravali ste,namjeravali su,bio sam namjeravao,bio si namjeravao,bio je namjeravao,bili smo namjeravali,bili ste namjeravali,bili su namjeravali,namjeravah,namjeravaše,namjeravaše,namjeravasmo,namjeravaste,namjeravahu,,,,,,,namjeravao bih,namjeravao bi,namjeravao bi,namjeravali bismo,namjeravali biste,namjeravali bi,bio bih namjeravao,bio bi namjeravao,bio bi namjeravao,bili bismo namjeravali,bili biste namjeravali,bili bi namjeravali,namjeravaj,namjeravajmo,namjeravajte
namleti,to grind,nameljem,namelješ,namelje,nameljemo,nameljete,namelju,namlet ću,namlet ćeš,namlet će,namlet ćemo,namlet ćete,namlet će,budem namleo,budeš namleo,bude namleo,budemo namleli,budete namleli,budu namleli,namleo sam,namleo si,namleo je,namleli smo,namleli ste,namleli su,bio sam namleo,bio si namleo,bio je namleo,bili smo namleli,bili ste namleli,bili su namleli,,,,,,,namleh,namle,namle,namlesmo,namleste,namleše,namleo bih,namleo bi,namleo bi,namleli bismo,namleli biste,namleli bi,bio bih namleo,bio bi namleo,bio bi namleo,bili bismo namleli,bili biste namleli,bili bi namleli,namelji,nameljimo,nameljite
namljeti,to grind,nameljem,namelješ,namelje,nameljemo,nameljete,namelju,namljet ću,namljet ćeš,namljet će,namljet ćemo,namljet ćete,namljet će,budem namlio,budeš namlio,bude namlio,budemo namljeli,budete namljeli,budu namljeli,namlio sam,namlio si,namlio je,namljeli smo,namljeli ste,namljeli su,bio sam namlio,bio si namlio,bio je namlio,bili smo namljeli,bili ste namljeli,bili su namljeli,,,,,,,namljeh,namlje,namlje,namljesmo,namljeste,namlješe,namlio bih,namlio bi,namlio bi,namljeli bismo,namljeli biste,namljeli bi,bio bih namlio,bio bi namlio,bio bi namlio,bili bismo namljeli,bili biste namljeli,bili bi namljeli,namelji,nameljimo,nameljite
namnažati,to breed,namnažam,namnažaš,namnaža,namnažamo,namnažate,namnažaju,namnažat ću,namnažat ćeš,namnažat će,namnažat ćemo,namnažat ćete,namnažat će,budem namnažao,budeš namnažao,bude namnažao,budemo namnažali,budete namnažali,budu namnažali,namnažao sam,namnažao si,namnažao je,namnažali smo,namnažali ste,namnažali su,bio sam namnažao,bio si namnažao,bio je namnažao,bili smo namnažali,bili ste namnažali,bili su namnažali,namnažah,namnažaše,namnažaše,namnažasmo,namnažaste,namnažahu,,,,,,,namnažao bih,namnažao bi,namnažao bi,namnažali bismo,namnažali biste,namnažali bi,bio bih namnažao,bio bi namnažao,bio bi namnažao,bili bismo namnažali,bili biste namnažali,bili bi namnažali,namnažaj,namnažajmo,namnažajte
namnožavati,to breed,namnožavam,namnožavaš,namnožava,namnožavamo,namnožavate,namnožavaju,namnožavat ću,namnožavat ćeš,namnožavat će,namnožavat ćemo,namnožavat ćete,namnožavat će,budem namnožavao,budeš namnožavao,bude namnožavao,budemo namnožavali,budete namnožavali,budu namnožavali,namnožavao sam,namnožavao si,namnožavao je,namnožavali smo,namnožavali ste,namnožavali su,bio sam namnožavao,bio si namnožavao,bio je namnožavao,bili smo namnožavali,bili ste namnožavali,bili su namnožavali,namnožavah,namnožavaše,namnožavaše,namnožavasmo,namnožavaste,namnožavahu,,,,,,,namnožavao bih,namnožavao bi,namnožavao bi,namnožavali bismo,namnožavali biste,namnožavali bi,bio bih namnožavao,bio bi namnožavao,bio bi namnožavao,bili bismo namnožavali,bili biste namnožavali,bili bi namnožavali,namnožavaj,namnožavajmo,namnožavajte
namnožiti,to breed,namnožim,namnožiš,namnoži,namnožimo,namnožite,namnože,namnožit ću,namnožit ćeš,namnožit će,namnožit ćemo,namnožit ćete,namnožit će,budem namnožio,budeš namnožio,bude namnožio,budemo namnožili,budete namnožili,budu namnožili,namnožio sam,namnožio si,namnožio je,namnožili smo,namnožili ste,namnožili su,bio sam namnožio,bio si namnožio,bio je namnožio,bili smo namnožili,bili ste namnožili,bili su namnožili,,,,,,,namnožih,namnoži,namnoži,namnožismo,namnožiste,namnožiše,namnožio bih,namnožio bi,namnožio bi,namnožili bismo,namnožili biste,namnožili bi,bio bih namnožio,bio bi namnožio,bio bi namnožio,bili bismo namnožili,bili biste namnožili,bili bi namnožili,namnoži,namnožimo,namnožite
namočiti,to moisten,namočim,namočiš,namoči,namočimo,namočite,namoče,namočit ću,namočit ćeš,namočit će,namočit ćemo,namočit ćete,namočit će,budem namočio,budeš namočio,bude namočio,budemo namočili,budete namočili,budu namočili,namočio sam,namočio si,namočio je,namočili smo,namočili ste,namočili su,bio sam namočio,bio si namočio,bio je namočio,bili smo namočili,bili ste namočili,bili su namočili,,,,,,,namočih,namoči,namoči,namočismo,namočiste,namočiše,namočio bih,namočio bi,namočio bi,namočili bismo,namočili biste,namočili bi,bio bih namočio,bio bi namočio,bio bi namočio,bili bismo namočili,bili biste namočili,bili bi namočili,namoči,namočimo,namočite
nanervirati,to get on somebody's nerves,nanerviram,nanerviraš,nanervira,nanerviramo,nanervirate,nanerviraju,nanervirat ću,nanervirat ćeš,nanervirat će,nanervirat ćemo,nanervirat ćete,nanervirat će,budem nanervirao,budeš nanervirao,bude nanervirao,budemo nanervirali,budete nanervirali,budu nanervirali,nanervirao sam,nanervirao si,nanervirao je,nanervirali smo,nanervirali ste,nanervirali su,bio sam nanervirao,bio si nanervirao,bio je nanervirao,bili smo nanervirali,bili ste nanervirali,bili su nanervirali,,,,,,,nanervirah,nanervira,nanervira,nanervirasmo,nanerviraste,nanerviraše,nanervirao bih,nanervirao bi,nanervirao bi,nanervirali bismo,nanervirali biste,nanervirali bi,bio bih nanervirao,bio bi nanervirao,bio bi nanervirao,bili bismo nanervirali,bili biste nanervirali,bili bi nanervirali,nanerviraj,nanervirajmo,nanervirajte
nanišaniti,to aim,nanišanim,nanišaniš,nanišani,nanišanimo,nanišanite,nanišane,nanišanit ću,nanišanit ćeš,nanišanit će,nanišanit ćemo,nanišanit ćete,nanišanit će,budem nanišanio,budeš nanišanio,bude nanišanio,budemo nanišanili,budete nanišanili,budu nanišanili,nanišanio sam,nanišanio si,nanišanio je,nanišanili smo,nanišanili ste,nanišanili su,bio sam nanišanio,bio si nanišanio,bio je nanišanio,bili smo nanišanili,bili ste nanišanili,bili su nanišanili,,,,,,,nanišanih,nanišani,nanišani,nanišanismo,nanišaniste,nanišaniše,nanišanio bih,nanišanio bi,nanišanio bi,nanišanili bismo,nanišanili biste,nanišanili bi,bio bih nanišanio,bio bi nanišanio,bio bi nanišanio,bili bismo nanišanili,bili biste nanišanili,bili bi nanišanili,nanišani,nanišanimo,nanišanite
naoblačiti,to overcast,naoblačim,naoblačiš,naoblači,naoblačimo,naoblačite,naoblače,naoblačit ću,naoblačit ćeš,naoblačit će,naoblačit ćemo,naoblačit ćete,naoblačit će,budem naoblačio,budeš naoblačio,bude naoblačio,budemo naoblačili,budete naoblačili,budu naoblačili,naoblačio sam,naoblačio si,naoblačio je,naoblačili smo,naoblačili ste,naoblačili su,bio sam naoblačio,bio si naoblačio,bio je naoblačio,bili smo naoblačili,bili ste naoblačili,bili su naoblačili,,,,,,,naoblačih,naoblači,naoblači,naoblačismo,naoblačiste,naoblačiše,naoblačio bih,naoblačio bi,naoblačio bi,naoblačili bismo,naoblačili biste,naoblačili bi,bio bih naoblačio,bio bi naoblačio,bio bi naoblačio,bili bismo naoblačili,bili biste naoblačili,bili bi naoblačili,naoblači,naoblačimo,naoblačite
naoblačivati,to overcast,naoblačujem,naoblačuješ,naoblačuje,naoblačujemo,naoblačujete,naoblačuju,naoblačivat ću,naoblačivat ćeš,naoblačivat će,naoblačivat ćemo,naoblačivat ćete,naoblačivat će,budem naoblačivao,budeš naoblačivao,bude naoblačivao,budemo naoblačivali,budete naoblačivali,budu naoblačivali,naoblačivao sam,naoblačivao si,naoblačivao je,naoblačivali smo,naoblačivali ste,naoblačivali su,bio sam naoblačivao,bio si naoblačivao,bio je naoblačivao,bili smo naoblačivali,bili ste naoblačivali,bili su naoblačivali,naoblačivah,naoblačivaše,naoblačivaše,naoblačivasmo,naoblačivaste,naoblačivahu,,,,,,,naoblačivao bih,naoblačivao bi,naoblačivao bi,naoblačivali bismo,naoblačivali biste,naoblačivali bi,bio bih naoblačivao,bio bi naoblačivao,bio bi naoblačivao,bili bismo naoblačivali,bili biste naoblačivali,bili bi naoblačivali,naoblačuj,naoblačujmo,naoblačujte
naoružati,to arm,naoružam,naoružaš,naoruža,naoružamo,naoružate,naoružaju,naoružat ću,naoružat ćeš,naoružat će,naoružat ćemo,naoružat ćete,naoružat će,budem naoružao,budeš naoružao,bude naoružao,budemo naoružali,budete naoružali,budu naoružali,naoružao sam,naoružao si,naoružao je,naoružali smo,naoružali ste,naoružali su,bio sam naoružao,bio si naoružao,bio je naoružao,bili smo naoružali,bili ste naoružali,bili su naoružali,,,,,,,naoružah,naoruža,naoruža,naoružasmo,naoružaste,naoružaše,naoružao bih,naoružao bi,naoružao bi,naoružali bismo,naoružali biste,naoružali bi,bio bih naoružao,bio bi naoružao,bio bi naoružao,bili bismo naoružali,bili biste naoružali,bili bi naoružali,naoružaj,naoružajmo,naoružajte
naoružavati,to arm,naoružavam,naoružavaš,naoružava,naoružavamo,naoružavate,naoružavaju,naoružavat ću,naoružavat ćeš,naoružavat će,naoružavat ćemo,naoružavat ćete,naoružavat će,budem naoružavao,budeš naoružavao,bude naoružavao,budemo naoružavali,budete naoružavali,budu naoružavali,naoružavao sam,naoružavao si,naoružavao je,naoružavali smo,naoružavali ste,naoružavali su,bio sam naoružavao,bio si naoružavao,bio je naoružavao,bili smo naoružavali,bili ste naoružavali,bili su naoružavali,naoružavah,naoružavaše,naoružavaše,naoružavasmo,naoružavaste,naoružavahu,,,,,,,naoružavao bih,naoružavao bi,naoružavao bi,naoružavali bismo,naoružavali biste,naoružavali bi,bio bih naoružavao,bio bi naoružavao,bio bi naoružavao,bili bismo naoružavali,bili biste naoružavali,bili bi naoružavali,naoružavaj,naoružavajmo,naoružavajte
naoštriti,to sharpen,naoštrim,naoštriš,naoštri,naoštrimo,naoštrite,naoštre,naoštrit ću,naoštrit ćeš,naoštrit će,naoštrit ćemo,naoštrit ćete,naoštrit će,budem naoštrio,budeš naoštrio,bude naoštrio,budemo naoštrili,budete naoštrili,budu naoštrili,naoštrio sam,naoštrio si,naoštrio je,naoštrili smo,naoštrili ste,naoštrili su,bio sam naoštrio,bio si naoštrio,bio je naoštrio,bili smo naoštrili,bili ste naoštrili,bili su naoštrili,,,,,,,naoštrih,naoštri,naoštri,naoštrismo,naoštriste,naoštriše,naoštrio bih,naoštrio bi,naoštrio bi,naoštrili bismo,naoštrili biste,naoštrili bi,bio bih naoštrio,bio bi naoštrio,bio bi naoštrio,bili bismo naoštrili,bili biste naoštrili,bili bi naoštrili,naoštri,naoštrimo,naoštrite
napadati,to attack,napadam,napadaš,napada,napadamo,napadate,napadaju,napadat ću,napadat ćeš,napadat će,napadat ćemo,napadat ćete,napadat će,budem napadao,budeš napadao,bude napadao,budemo napadali,budete napadali,budu napadali,napadao sam,napadao si,napadao je,napadali smo,napadali ste,napadali su,bio sam napadao,bio si napadao,bio je napadao,bili smo napadali,bili ste napadali,bili su napadali,napadah,napadaše,napadaše,napadasmo,napadaste,napadahu,,,,,,,napadao bih,napadao bi,napadao bi,napadali bismo,napadali biste,napadali bi,bio bih napadao,bio bi napadao,bio bi napadao,bili bismo napadali,bili biste napadali,bili bi napadali,napadaj,napadajmo,napadajte
